attendance,study_hours,assignment_score,previous_exam_score,internal_test_score,sleep_hours,screen_time,assignments_completed,class_participation,previous_backlogs,performance
91.3,6.9,69.1,83.7,88.0,6.3,3.0,81.7,64.0,0,Excellent
66.0,1.1,64.1,59.8,52.5,7.3,5.2,55.7,58.0,2,Average
86.9,2.2,60.1,56.8,69.5,5.2,7.9,53.4,64.0,0,Average
66.3,2.2,55.0,58.8,65.1,7.6,3.5,67.5,53.8,2,Average
72.5,1.6,57.8,60.0,65.5,6.5,6.2,69.7,12.8,2,Poor
68.6,2.3,54.9,61.2,47.8,7.0,4.4,87.1,72.8,4,Average
74.2,0.5,77.3,44.7,54.2,6.0,8.5,57.3,19.9,4,Poor
56.6,2.1,34.8,53.7,55.6,4.7,4.1,48.2,57.0,2,Poor
71.9,4.5,72.3,68.0,74.6,7.1,5.0,85.9,53.5,0,Good
100,4.7,71.4,66.3,70.6,5.8,1.1,66.8,54.0,0,Excellent
85.8,5.4,75.7,81.5,81.5,7.3,3.2,89.4,69.6,1,Excellent
58.8,0.5,43.0,46.3,49.8,7.0,7.4,51.8,37.9,3,Poor
75.4,4.3,58.6,61.0,58.6,6.6,7.7,62.8,51.0,2,Average
74.8,1.7,80.3,62.5,64.1,8.7,5.8,52.4,54.2,0,Average
80.2,4.1,53.3,71.4,88.8,7.9,2.6,78.2,71.8,1,Good
67.1,0.5,44.4,51.3,48.9,6.3,7.4,67.8,54.0,2,Poor
70.1,4.1,65.0,75.4,48.9,7.4,6.3,58.1,60.7,0,Good
92.6,4.2,83.1,62.1,75.0,6.2,5.4,79.1,100,0,Good
74.8,2.2,47.5,62.9,54.3,7.0,4.2,56.0,45.6,3,Poor
87.4,3.0,49.9,59.2,39.1,7.2,5.6,65.0,57.6,0,Average
84.0,6.4,87.5,85.3,80.6,8.6,6.1,84.5,60.8,0,Excellent
75.0,2.4,54.8,62.6,72.1,7.9,5.1,66.8,56.1,2,Average
88.8,2.0,91.3,86.7,71.2,7.4,1.8,100,79.0,0,Excellent
79.3,3.9,78.4,60.3,57.9,6.1,5.9,64.8,63.0,0,Good
75.2,2.0,44.8,41.2,48.5,8.1,7.6,58.7,62.5,2,Poor
65.4,2.9,68.2,51.2,60.2,7.0,4.1,74.9,27.0,4,Average
67.5,0.9,69.8,38.5,39.4,6.7,5.8,48.3,9.9,5,Poor
83.1,0.5,57.4,41.1,59.2,6.7,8.6,44.1,37.9,3,Poor
87.6,5.8,77.6,79.7,57.3,6.9,1.2,100,71.2,0,Excellent
81.7,3.3,72.6,64.2,61.0,5.6,5.1,72.8,42.7,3,Average
58.6,0.5,62.3,37.4,53.2,7.3,4.8,40.3,29.1,3,Poor
82.0,4.1,70.0,60.7,79.0,5.6,3.8,57.2,62.1,2,Average
64.1,3.7,63.4,56.8,59.3,6.7,2.4,78.7,78.8,0,Good
89.8,5.9,78.4,84.2,71.3,8.0,5.4,77.5,81.0,0,Excellent
80.8,1.3,71.7,65.8,61.4,6.6,7.3,47.1,51.6,1,Average
83.8,3.9,64.1,55.8,52.8,4.5,3.0,67.7,70.7,2,Average
76.8,2.1,74.0,56.8,57.8,6.7,3.9,79.9,54.6,3,Average
100,7.2,100,84.7,85.9,5.2,3.3,87.0,58.9,0,Excellent
82.0,4.1,85.2,85.2,74.1,5.2,3.3,84.5,61.3,1,Excellent
75.9,3.0,52.3,64.7,72.4,7.6,4.4,65.2,41.6,0,Good
79.7,1.6,63.3,66.9,69.2,8.4,6.6,76.4,35.5,3,Average
68.6,3.4,70.7,69.8,74.2,8.1,6.3,80.0,54.7,1,Good
92.6,5.3,75.4,79.9,88.7,6.6,3.1,93.0,73.2,0,Excellent
85.8,5.3,70.0,80.2,57.3,6.9,4.2,88.1,72.1,1,Good
70.6,0.5,66.7,61.3,57.0,7.3,4.5,51.2,73.6,3,Poor
72.0,0.8,52.3,54.4,49.9,6.0,5.1,48.6,59.4,5,Poor
86.9,3.6,41.2,62.6,55.6,6.6,6.4,75.2,41.8,3,Average
68.3,0.9,67.1,58.5,59.0,7.7,7.6,46.9,57.1,4,Poor
93.1,3.9,77.0,76.9,66.9,4.0,4.1,83.5,68.3,1,Good
80.1,5.6,74.2,71.7,88.7,6.1,7.1,96.7,73.0,0,Excellent
82.5,5.7,61.1,89.3,75.6,8.0,0.5,88.4,51.0,0,Excellent
68.8,0.5,51.0,47.6,55.5,6.2,6.9,46.0,56.4,3,Poor
65.8,3.6,78.6,56.7,51.9,7.2,6.9,79.8,41.6,3,Average
54.1,2.9,70.6,56.5,55.4,6.7,8.0,45.0,75.1,3,Average
76.7,4.5,71.6,73.4,78.2,7.8,3.5,72.7,84.3,2,Good
66.0,0.5,51.4,47.3,61.9,6.9,9.9,49.9,40.4,4,Poor
73.0,0.5,65.6,55.9,56.0,6.2,6.1,41.3,37.0,4,Poor
82.5,1.7,55.7,51.4,63.4,6.8,4.7,52.7,49.5,1,Average
82.2,2.9,70.5,61.5,52.3,8.0,2.5,68.7,60.4,1,Good
82.0,2.4,79.2,60.5,89.0,7.0,3.5,92.5,63.9,1,Good
